year,hires,terminations,net_change,net_change_percent
2000,185,0,185,100.00
2001,892,7,885,99.22
2002,860,10,850,98.84
2003,921,31,890,96.63
2004,910,29,881,96.81
2005,884,46,838,94.80
2006,921,65,856,92.94
2007,931,49,882,94.74
2008,963,87,876,90.97
2009,971,70,901,92.79
2010,962,108,854,88.77
2011,964,86,878,91.08
2012,990,121,869,87.78
2013,967,105,862,89.14
2014,956,111,845,88.39
2015,952,128,824,86.55
2016,1018,135,883,86.74
2017,1010,146,864,85.54
2018,1076,160,916,85.13
2019,1009,170,839,83.15
2020,959,155,804,83.84
