username,repo_name,stars,repo_url
public-apis,public-apis,256000,https://github.com/public-apis/public-apis
neovim,neovim,69300,https://github.com/neovim/neovim
tiangolo,fastapi,62500,https://github.com/tiangolo/fastapi
strapi,strapi,56000,https://github.com/strapi/strapi
hoppscotch,hoppscotch,54400,https://github.com/hoppscotch/hoppscotch
ocornut,imgui,50200,https://github.com/ocornut/imgui
meilisearch,meilisearch,38800,https://github.com/meilisearch/meilisearch
slatedocs,slate,35400,https://github.com/slatedocs/slate
Kong,insomnia,30700,https://github.com/Kong/insomnia
hasura,graphql-engine,30100,https://github.com/hasura/graphql-engine
httpie,cli,29200,https://github.com/httpie/cli
ccxt,ccxt,29100,https://github.com/ccxt/ccxt
Binaryify,NeteaseCloudMusicApi,29100,https://github.com/Binaryify/NeteaseCloudMusicApi
trpc,trpc,28600,https://github.com/trpc/trpc
YMFE,yapi,26500,https://github.com/YMFE/yapi
encode,django-rest-framework,26300,https://github.com/encode/django-rest-framework
littlecodersh,ItChat,24200,https://github.com/littlecodersh/ItChat
directus,directus,23100,https://github.com/directus/directus
microsoft,api-guidelines,21800,https://github.com/microsoft/api-guidelines
shieldfy,API-Security-Checklist,21300,https://github.com/shieldfy/API-Security-Checklist
