username,repo_name,stars,repo_url
jwasham,coding-interview-university,265000,https://github.com/jwasham/coding-interview-university
trekhleb,javascript-algorithms,175000,https://github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,169000,https://github.com/TheAlgorithms/Python
CyC2018,CS-Notes,167000,https://github.com/CyC2018/CS-Notes
yangshun,tech-interview-handbook,94700,https://github.com/yangshun/tech-interview-handbook
kdn251,interviews,60400,https://github.com/kdn251/interviews
TheAlgorithms,Java,53500,https://github.com/TheAlgorithms/Java
azl397985856,leetcode,52400,https://github.com/azl397985856/leetcode
algorithm-visualizer,algorithm-visualizer,44300,https://github.com/algorithm-visualizer/algorithm-visualizer
youngyangyang04,leetcode-master,41900,https://github.com/youngyangyang04/leetcode-master
halfrost,LeetCode-Go,30500,https://github.com/halfrost/LeetCode-Go
huihut,interview,30300,https://github.com/huihut/interview
TheAlgorithms,JavaScript,27800,https://github.com/TheAlgorithms/JavaScript
donnemartin,interactive-coding-challenges,27800,https://github.com/donnemartin/interactive-coding-challenges
krahets,hello-algo,27200,https://github.com/krahets/hello-algo
crossoverJie,JCSprout,27000,https://github.com/crossoverJie/JCSprout
TheAlgorithms,C-Plus-Plus,25700,https://github.com/TheAlgorithms/C-Plus-Plus
keon,algorithms,22900,https://github.com/keon/algorithms
mxgmn,WaveFunctionCollapse,21800,https://github.com/mxgmn/WaveFunctionCollapse
trekhleb,homemade-machine-learning,21700,https://github.com/trekhleb/homemade-machine-learning
