username,repo_name,stars,repo_url
amphp,amp,4000,https://github.com/amphp/amp
danog,MadelineProto,2500,https://github.com/danog/MadelineProto
unreal4u,telegram-api,764,https://github.com/unreal4u/telegram-api
amphp,parallel,691,https://github.com/amphp/parallel
amphp,http-client,666,https://github.com/amphp/http-client
amphp,byte-stream,347,https://github.com/amphp/byte-stream
php-service-bus,service-bus,345,https://github.com/php-service-bus/service-bus
amphp,mysql,327,https://github.com/amphp/mysql
amphp,parallel-functions,248,https://github.com/amphp/parallel-functions
amphp,process,216,https://github.com/amphp/process
amphp,socket,199,https://github.com/amphp/socket
xtrime-ru,TelegramRSS,188,https://github.com/xtrime-ru/TelegramRSS
amphp,sync,143,https://github.com/amphp/sync
amphp,redis,140,https://github.com/amphp/redis
amphp,dns,140,https://github.com/amphp/dns
amphp,websocket-client,126,https://github.com/amphp/websocket-client
kelunik,acme,122,https://github.com/kelunik/acme
amphp,serialization,99,https://github.com/amphp/serialization
amphp,websocket-server,97,https://github.com/amphp/websocket-server
PeeHaa,mailgrab,92,https://github.com/PeeHaa/mailgrab
