username,repo_name,stars,repo_url
flutter,flutter,157000,https://github.com/flutter/flutter
facebook,react-native,112000,https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,105000,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,91000,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,69000,https://github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,48600,https://github.com/google/material-design-icons
Solido,awesome-flutter,48400,https://github.com/Solido/awesome-flutter
wasabeef,awesome-android-ui,47300,https://github.com/wasabeef/awesome-android-ui
square,okhttp,44500,https://github.com/square/okhttp
android,architecture-samples,43100,https://github.com/android/architecture-samples
square,retrofit,42000,https://github.com/square/retrofit
dcloudio,uni-app,38600,https://github.com/dcloudio/uni-app
laurent22,joplin,38600,https://github.com/laurent22/joplin
fastlane,fastlane,37500,https://github.com/fastlane/fastlane
PhilJay,MPAndroidChart,36800,https://github.com/PhilJay/MPAndroidChart
skylot,jadx,36200,https://github.com/skylot/jadx
airbnb,lottie-android,34200,https://github.com/airbnb/lottie-android
shadowsocks,shadowsocks-android,34000,https://github.com/shadowsocks/shadowsocks-android
bumptech,glide,33900,https://github.com/bumptech/glide
appwrite,appwrite,33100,https://github.com/appwrite/appwrite
