username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,105000,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,90100,https://github.com/angular/angular
storybookjs,storybook,80300,https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,57600,https://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,49500,https://github.com/ionic-team/ionic-framework
prettier,prettier,46600,https://github.com/prettier/prettier
Asabeneh,30-Days-Of-JavaScript,38300,https://github.com/Asabeneh/30-Days-Of-JavaScript
SheetJS,sheetjs,33500,https://github.com/SheetJS/sheetjs
angular,angular-cli,26200,https://github.com/angular/angular-cli
angular,components,23600,https://github.com/angular/components
NativeScript,NativeScript,22900,https://github.com/NativeScript/NativeScript
goldbergyoni,javascript-testing-best-practices,22100,https://github.com/goldbergyoni/javascript-testing-best-practices
jhipster,generator-jhipster,20800,https://github.com/jhipster/generator-jhipster
pubkey,rxdb,19600,https://github.com/pubkey/rxdb
nrwl,nx,19200,https://github.com/nrwl/nx
sudheerj,javascript-interview-questions,17800,https://github.com/sudheerj/javascript-interview-questions
wailsapp,wails,17500,https://github.com/wailsapp/wails
teambit,bit,17000,https://github.com/teambit/bit
sweetalert2,sweetalert2,16200,https://github.com/sweetalert2/sweetalert2
jasontaylordev,CleanArchitecture,13200,https://github.com/jasontaylordev/CleanArchitecture
