username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,139000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,70000,https://github.com/nvm-sh/nvm
junegunn,fzf,54300,https://github.com/junegunn/fzf
google,zx,38500,https://github.com/google/zx
starship,starship,36300,https://github.com/starship/starship
dylanaraps,pure-bash-bible,34700,https://github.com/dylanaraps/pure-bash-bible
LeCoupa,awesome-cheatsheets,34600,https://github.com/LeCoupa/awesome-cheatsheets
acmesh-official,acme.sh,33100,https://github.com/acmesh-official/acme.sh
koalaman,shellcheck,33000,https://github.com/koalaman/shellcheck
mathiasbynens,dotfiles,29300,https://github.com/mathiasbynens/dotfiles
alebcay,awesome-shell,28500,https://github.com/alebcay/awesome-shell
jaywcjlove,linux-command,24900,https://github.com/jaywcjlove/linux-command
withfig,autocomplete,23000,https://github.com/withfig/autocomplete
dylanaraps,neofetch,18800,https://github.com/dylanaraps/neofetch
asdf-vm,asdf,18500,https://github.com/asdf-vm/asdf
Nyr,openvpn-install,17600,https://github.com/Nyr/openvpn-install
kingToolbox,WindTerm,16700,https://github.com/kingToolbox/WindTerm
rbenv,rbenv,15300,https://github.com/rbenv/rbenv
warpdotdev,Warp,15200,https://github.com/warpdotdev/Warp
charmbracelet,gum,14600,https://github.com/charmbracelet/gum
