username,repo_name,stars,repo_url
Genymobile,scrcpy,91000,https://github.com/Genymobile/scrcpy
neovim,neovim,69300,https://github.com/neovim/neovim
obsproject,obs-studio,50200,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,48900,https://github.com/fffaraz/awesome-cpp
git,git,47300,https://github.com/git/git
FFmpeg,FFmpeg,38300,https://github.com/FFmpeg/FFmpeg
serhii-londar,open-source-mac-os-apps,36800,https://github.com/serhii-londar/open-source-mac-os-apps
vim,vim,32600,https://github.com/vim/vim
curl,curl,31200,https://github.com/curl/curl
huihut,interview,30300,https://github.com/huihut/interview
ggreer,the_silver_searcher,25200,https://github.com/ggreer/the_silver_searcher
mpv-player,mpv,23500,https://github.com/mpv-player/mpv
ossrs,srs,22600,https://github.com/ossrs/srs
google,flatbuffers,21100,https://github.com/google/flatbuffers
ruby,ruby,20800,https://github.com/ruby/ruby
kovidgoyal,kitty,19900,https://github.com/kovidgoyal/kitty
microsoft,vcpkg,19600,https://github.com/microsoft/vcpkg
oracle,graal,19000,https://github.com/oracle/graal
radareorg,radare2,18600,https://github.com/radareorg/radare2
hashcat,hashcat,18200,https://github.com/hashcat/hashcat
