username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,162000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,54300,https://github.com/junegunn/fzf
sherlock-project,sherlock,43200,https://github.com/sherlock-project/sherlock
sharkdp,bat,42900,https://github.com/sharkdp/bat
BurntSushi,ripgrep,40000,https://github.com/BurntSushi/ripgrep
jesseduffield,lazygit,38700,https://github.com/jesseduffield/lazygit
google,zx,38500,https://github.com/google/zx
wagoodman,dive,38300,https://github.com/wagoodman/dive
chubin,cheat.sh,36000,https://github.com/chubin/cheat.sh
n8n-io,n8n,33500,https://github.com/n8n-io/n8n
spf13,cobra,33300,https://github.com/spf13/cobra
cli,cli,33200,https://github.com/cli/cli
httpie,cli,29200,https://github.com/httpie/cli
sharkdp,fd,28800,https://github.com/sharkdp/fd
alebcay,awesome-shell,28500,https://github.com/alebcay/awesome-shell
ibraheemdev,modern-unix,27900,https://github.com/ibraheemdev/modern-unix
acheong08,ChatGPT,27200,https://github.com/acheong08/ChatGPT
angular,angular-cli,26200,https://github.com/angular/angular-cli
tqdm,tqdm,25700,https://github.com/tqdm/tqdm
google,python-fire,25200,https://github.com/google/python-fire
