username,repo_name,stars,repo_url
vercel,next.js,111000,https://github.com/vercel/next.js
rust-lang,rust,85300,https://github.com/rust-lang/rust
sveltejs,svelte,72500,https://github.com/sveltejs/svelte
webpack,webpack,63500,https://github.com/webpack/webpack
gatsbyjs,gatsby,54700,https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,45700,https://github.com/JetBrains/kotlin
parcel-bundler,parcel,42700,https://github.com/parcel-bundler/parcel
babel,babel,42500,https://github.com/babel/babel
evanw,esbuild,36000,https://github.com/evanw/esbuild
vlang,v,34600,https://github.com/vlang/v
carbon-language,carbon-lang,31200,https://github.com/carbon-language/carbon-lang
markedjs,marked,30400,https://github.com/markedjs/marked
swc-project,swc,28500,https://github.com/swc-project/swc
FuelLabs,sway,27900,https://github.com/FuelLabs/sway
ziglang,zig,25600,https://github.com/ziglang/zig
vercel,pkg,23700,https://github.com/vercel/pkg
v8,v8,21700,https://github.com/v8/v8
typst,typst,20700,https://github.com/typst/typst
AssemblyScript,assemblyscript,15900,https://github.com/AssemblyScript/assemblyscript
RustPython,RustPython,15600,https://github.com/RustPython/RustPython
