,Title,Published_date,Views,Likes,Comments,Month
0,The Death of the Full-Time Job (Rise of the Contractor),2023-09-22,3040,240,59,Sep
1,How to Survive a Down Data Job Market,2023-09-05,13842,450,63,Sep
2,The Harsh Reality of the Data Job Market,2023-08-24,99701,2446,289,Aug
3,7 Industries AI will Aggressively Disrupt,2023-08-14,5279,222,43,Aug
4,What's in My Data Science Travel Bag? (50+ Flights Last Year),2023-08-07,3654,119,48,Aug
5,7 Enticing Jobs AI Will Create,2023-07-24,4263,188,36,Jul
6,The ChatGPT Code Interpreter is OVERRATED,2023-07-22,3863,138,31,Jul
7,Exciting Announcement!,2023-06-23,6462,291,50,Jun
8,AI: A Customer Service Revolution?,2023-05-26,3659,116,35,May
9,Beginner Kaggle Data Science Project Walk-Through (Housing Prices) | With ChatGPT,2023-05-16,23099,810,56,May
10,How I Would Learn Data Science with AI (If I Could Start Over),2023-05-04,30320,1292,77,May
11,This AI question will determine our future,2023-04-06,4189,262,37,Apr
12,I'll Never Code the Same Again... (GPT-4 is OP),2023-04-03,70499,823,79,Apr
13,Your current portfolio is actually hurting you #shorts,2023-03-30,6119,367,7,Mar
14,"Traditional ""networking"" is stupid. Do THIS instead #shorts",2023-03-27,6300,345,3,Mar
15,you're job searching wrong. #shorts,2023-03-23,3888,236,3,Mar
16,The Economics of Data Roles #shorts,2023-03-21,7411,475,10,Mar
17,Why your phone knows everything you say #shorts,2023-03-18,2641,120,7,Mar
18,Read these for a successful career. #shorts,2023-03-16,2874,232,2,Mar
19,Is Your Phone Actually Listening to You? #shorts,2023-03-09,2364,44,5,Mar
20,How I Realized I Was a Bad Manager #shorts,2023-03-07,2534,119,1,Mar
21,How I Use ChatGPT as a Data Scientist (4-5 hrs Saved Per Week),2023-03-03,19731,745,52,Mar
22,Why I Quit Data Science... and then crawled back #shorts,2023-03-01,7590,258,13,Mar
23,The Best Place to Look for Data Science Opportunities #shorts,2023-02-27,2483,158,2,Feb
24,Learning On the companies dime #shorts,2023-02-24,3001,171,1,Feb
25,The Best Way to Transition to Data Science? #shorts,2023-02-21,3788,245,6,Feb
26,Avoid this Massive Data Science Learning Mistake #shorts,2023-02-17,6456,379,6,Feb
27,Don't Go into Data for the Money #shorts,2023-02-15,3651,216,12,Feb
28,First Data Science Project? Watch This.,2023-02-13,6104,331,22,Feb
29,How to Approach Applying for a Data Role #shorts,2023-02-08,3628,243,7,Feb
30,The Hard Reality of Data Science Work #shorts,2023-02-06,12366,730,11,Feb
31,How Much Money Does a Data Scientist Make? #shorts,2023-02-03,4407,186,6,Feb
32,These 3 Things Make Data Science Special #shorts,2023-02-01,4073,321,6,Feb
33,Will Data Science Be Automated? #shorts,2023-01-27,8247,375,8,Jan
34,Is Data Science A Good Fit For You? #shorts,2023-01-25,4941,286,11,Jan
35,5 Books I Wish I Read Earlier In My Career,2023-01-23,9070,512,50,Jan
36,How To Start Working on Data Science Projects (As a Beginner) #shorts,2023-01-19,4953,476,10,Jan
37,What Data Science Tool Would I Learn First? #shorts,2023-01-17,6210,470,10,Jan
38,How long does it take to become a Data Scientist? #shorts,2023-01-12,5881,462,6,Jan
39,Where & how to start your Data Science Journey #shorts,2023-01-09,6570,412,2,Jan
40,How I Would NOT Learn Data Science in 2023.,2023-01-03,121961,4050,253,Jan
41,The Greatest Data Science Event You Never Heard Of  [Behind The Scenes],2022-12-14,4816,200,28,Dec
42,The Essential Programming Concepts For Learning Data Science,2022-11-14,20221,842,46,Nov
43,The Data Content House: What You Missed,2022-10-07,10413,348,50,Oct
44,Is Data Science A Good Career?,2022-09-29,60208,1907,138,Sep
45,IRON ANALYST (Teaser) #shorts,2022-09-27,5625,364,24,Sep
46,When a New Data Scientist Joins The Team,2022-08-29,16361,745,133,Aug
47,State of Data Science - Web Data,2022-08-05,10417,359,34,Aug
48,Data Science Town Hall - State of Data Science,2022-08-04,9950,376,38,Aug
49,The Programming Roadmap For Data Science,2022-07-29,27114,1289,64,Jul
50,5 Impactful Data Science Projects For Your Portfolio,2022-06-27,74809,2850,90,Jun
51,Can AI Fix my Baseball Swing?,2022-06-10,7545,340,68,Jun
52,Every Data Scientist... (funny!),2022-05-24,16556,849,146,May
53,State of Data Science (Town Hall) ft - Data Squad,2022-05-07,15972,429,65,May
54,Data Science Portfolio Project From Scratch | Building a YouTube Data Dashboard with Streamlit,2022-04-04,57896,1504,87,Apr
55,Why You Are NOT Landing Data Jobs ... Yet,2022-03-25,21088,880,113,Mar
56,Data Scientists VS NFT Scam,2022-03-03,4616,189,50,Mar
57,When a PM Joins the Data Team... (funny!) - Ft @LukeBarousse,2022-02-21,11135,511,144,Feb
58,What Professional Data Scientists ACTUALLY Do,2022-02-14,95229,3302,187,Feb
59,Can You Analyze My Data Better Than I Can?,2022-01-31,7300,323,62,Jan
60,Giving Back to My Most Engaged Subscribers!,2022-01-28,2325,119,89,Jan
61,How to Make $1 Billion Betting on Horse Racing with Machine Learning,2022-01-24,30565,905,131,Jan
62,Should You Be Excited About Web 3? (As a Data Scientist),2022-01-17,8836,424,83,Jan
63,Should  @LukeBarousse Take This Data Analyst Job? (Funny) #Shorts,2022-01-14,8516,253,33,Jan
64,The Only Data Science Explanation You Need,2022-01-10,59387,2219,172,Jan
65,We Need to Talk About The LinkedIn Machine Learning Assessment.,2022-01-03,14449,647,144,Jan
66,How I Would Learn Data Science in 2022 (If I Had to Start Over),2021-12-27,340542,14982,539,Dec
67,What the Heck is WSL 2? (My New Favorite Tool),2021-12-17,12038,421,67,Dec
68,How Statistics Saved the US SERIOUS $$$$ During WW2 #Shorts,2021-12-10,8007,569,25,Dec
69,How Zillow Lost $500 MILLION With Machine Learning,2021-12-03,24624,1185,146,Dec
70,Why Is Data Engineering So HOT Right Now?,2021-11-26,29450,1101,141,Nov
71,Is Data Science Dying?,2021-11-19,123012,3866,362,Nov
72,7 Incredible Books That Transformed My Health and My Life,2021-11-12,8097,387,112,Nov
73,Why EVERYONE Should Start a Podcast (Including YOU),2021-11-05,3628,203,48,Nov
74,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,2021-10-29,13337,300,39,Oct
75,ML Ops: What is it REALLY?,2021-10-22,6888,285,65,Oct
76,Business Skills for Data Science: What are they REALLY?,2021-10-18,6805,302,50,Oct
77,#66DaysOfData Round 3 Live Event! (feat. @statquest),2021-10-12,2205,123,5,Oct
78,Roasting My First Data Science Project (Common Project Mistakes),2021-10-08,5914,282,64,Oct
79,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20,12793,529,112,Aug
80,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07,10206,433,32,Aug
81,Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06,41072,1598,32,Aug
82,How I Learned to Learn.,2021-07-31,50793,2367,209,Jul
83,Is Spotify Shuffle Really Random? #Shorts,2021-07-21,10508,581,50,Jul
84,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16,2395,93,30,Jul
85,Why are APIs Important for Data Science?,2021-07-09,9901,453,95,Jul
86,Is Your Phone REALLY Listening to You?,2021-07-03,5176,280,116,Jul
87,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25,15208,600,121,Jun
88,#66DaysOfData - 3 Reasons to Start!,2021-06-18,4093,225,41,Jun
